title	Crossfit 01 (9'47'')			Crossfit 01
lastmod				
timing in sec	type of order	image	sound	tts message
Start of the sequence ---------------------------------------				0
5	TTS_EN			Chelsea Original: Each round on the minute for 30 minutes
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 1. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 2. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 3. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 4. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 5. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 6. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 7. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 8. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 9. Rest for some seconds.
20	TTS_EN	pull-ups.png		5 pull-ups
15	TTS_EN	push-ups.png		10 push-ups
15	TTS_EN	squat.png		15 squats
8	TTS_EN		default	End of round 10. Rest for some seconds.
2	TTS_EN		default	Change Track Please!
